date,JAN,Decile 1 Portfolio Excess Return,Decile 2 Portfolio Excess Return,Decile 3 Portfolio Excess Return,Decile 4 Portfolio Excess Return,Decile 5 Portfolio Excess Return,Decile 6 Portfolio Excess Return,Decile 7 Portfolio Excess Return,Decile 8 Portfolio Excess Return,Decile 9 Portfolio Excess Return,Decile 10 Portfolio Excess Return,NoDur Excess return,Durbl Excess return,Manuf Excess return,Enrgy Excess return,Chems Excess return,BusEq Excess return,Telcm Excess return,Utils Excess return,Shops Excess return,Hlth  Excess return,Money Excess return,Other Excess return,LT Gov Bonds excess return,LT Corp Bonds excess return,6month excess return,XEW,HB3,JUNK,DIV,TB1,XVW,PREM,delta slope,UI,CGNON,REALTB
05/1959,0,-0.000481043,0.018233957,-0.003590043,-0.000945043,0.009267957,-0.001260043,0.014934957,0.008349957,-0.006333043,0.025113957,0.011098957,0.060098957,0.025198957,-0.011801043,0.053498957,0.059898957,-0.012701043,-0.013301043,0.024798957,-0.013001043,0.005098957,0.003698957,-0.002851043,-0.013701043,0.000569957,0.001865119,0.000449,0.000483333,0.002508992,0.002301043,0.017293957,-0.00095,-0.000283333,0.007573004,-0.003,0.002189
06/1959,0,-0.010288881,0.001791119,0.003360119,0.005205119,0.005886119,0.011471119,0.008331119,0.001341119,0.009382119,-0.005796881,0.014416119,0.002516119,0.026416119,-0.029483881,-0.017683881,-0.018983881,-0.012883881,-0.024583881,0.020316119,0.063616119,0.023616119,0.006816119,-0.001234881,0.002116119,0.003417119,0.02807431,0.001368,0.000508333,0.002413235,0.002283881,-0.001607881,-0.009449,5.83E-05,0.007742757,-0.006,-0.000929
07/1959,0,0.03139731,0.03626131,0.01684931,0.03701631,0.02682331,0.03004731,0.02533931,0.02693331,0.02170031,0.03599631,0.03501231,0.07891231,0.02611231,0.04761231,0.05941231,-0.00838769,0.00401231,0.03641231,0.01801231,0.04541231,0.01071231,-0.00458769,0.00400531,0.00691231,-0.00073569,-0.017758325,-0.000506,0.00055,0.002427048,0.00198769,0.03237431,0.002107,-0.000125,-0.007915295,0.003,-0.001244
08/1959,0,-0.015765325,-0.008909325,-0.018225325,-0.029096325,-0.019569325,-0.009772325,-0.022005325,-0.019272325,-0.022186325,-0.012971325,-0.006819325,0.029380675,-0.018019325,-0.034219325,-0.031219325,-0.027019325,0.003180675,0.010380675,0.004880675,-0.038119325,-0.016619325,-0.028419325,-0.007039325,-0.009719325,-8.73E-05,-0.048807163,1.40E-05,0.00055,0.002527023,0.002919325,-0.015365325,-0.00618,-0.000341667,0.014046468,0.009,0.001861
09/1959,0,-0.046241163,-0.045842163,-0.049677163,-0.047330163,-0.048068163,-0.051509163,-0.050538163,-0.053469163,-0.053891163,-0.045953163,-0.035247163,-0.045947163,-0.051247163,-0.072047163,-0.054847163,-0.044647163,-0.012647163,-0.046347163,-0.023847163,-0.052647163,-0.049747163,-0.041347163,-0.008697163,-0.011847163,0.003785837,0.020625319,0.00207,0.000591667,0.002538991,0.003047163,-0.048024163,-0.01255,-0.000133333,-0.007068055,0,-0.00051
10/1959,0,-0.001421681,0.014187319,0.034783319,0.026689319,0.021538319,0.031410319,0.028554319,0.042413319,0.018170319,0.006417319,0.035319319,-0.013580681,0.016319319,0.009119319,0.014119319,0.038819319,0.010419319,0.006219319,0.005619319,0.021219319,0.003819319,-0.002680681,0.012456319,0.013919319,-0.000333681,0.012459691,0.000776,0.000583333,0.002538485,0.002580681,0.013165319,-0.004937,-8.33E-05,0.014532902,-0.004,-0.000398
11/1959,0,-0.004083309,0.009674691,0.017225691,0.025031691,0.019234691,0.006100691,0.025510691,0.025443691,0.010073691,0.015731691,0.009819691,-0.001380309,0.025519691,-0.006680309,0.021519691,0.083719691,-0.014880309,0.001419691,0.021719691,0.053619691,0.011119691,-0.015180309,-0.014450309,0.010919691,0.001667691,0.01770601,0.001604,0.000583333,0.00246924,0.002580309,0.015976691,0.01037,-0.00015,-0.018588164,0.005,0.002554
12/1959,0,0.01546101,0.03369201,0.03461801,0.01007201,0.02055901,0.01517901,0.00402501,0.00212501,0.01895701,0.03033201,0.00882901,0.05552901,0.01252901,0.03882901,0.02842901,0.03462901,0.03962901,0.01782901,0.02282901,-0.01977099,0.00142901,0.02402901,-0.01936099,-0.01307099,0.00314501,-0.042121714,0.001457,0.000608333,0.002522646,0.00347099,0.02457201,0.00269,0.000141667,-0.000434616,0.001,0.002525
01/1960,1,0.004042286,-0.016391714,-0.040554714,-0.042737714,-0.044401714,-0.051095714,-0.061561714,-0.055998714,-0.045715714,-0.078621714,-0.036419714,-0.116519714,-0.082919714,-0.077819714,-0.098719714,-0.099519714,0.006580286,-0.023619714,-0.059919714,-0.066419714,-0.046419714,-0.047419714,0.008263286,0.007780286,0.001793286,0.0052197,0.000809,0.00065,0.002634352,0.002919714,-0.069163714,0.010917,0.000133333,0.025045546,-0.01,0.006719
02/1960,0,-0.0132143,0.0007007,0.0106927,0.0011667,0.0178917,-0.0011063,0.0083797,0.0092357,0.0038367,0.0137827,0.0260417,-0.0239583,0.0091417,-0.0375583,0.0019417,0.0410417,0.0803417,0.0244417,0.0373417,-0.0005583,-0.0101583,-0.0002583,0.0171297,0.0095417,0.0051117,-0.027160223,0.002584,0.000633333,0.002680843,0.0032583,0.0111607,-0.021288,0.000341667,-0.012085038,0.017,-0.00055
