id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-59-2355-01A-01R-1569-13	0.0351858999261271	0	0	0.166152953756583	0	0.217364811156356	0	0.040079370423474	0.0751203526371034	0	0	0.0616672942272746	0.01858329245027	0.0820922531096334	0.149795739337926	0.111555166213118	0	0.0231910478918641	0.0192118188702711	0	0	0
TCGA-13-0720-01A-01R-1564-13	0.00485917292891917	0	0.0617547446802373	0.0241547045355297	0	0.327572971745485	0	0.0729130065741504	0	0	0	0.0556869230200124	0.027280290553103	0.173428689040132	0.0418696688442226	0.00932140783523424	0	0.196622039144978	0.0045363810979959	0	0	0
TCGA-25-1316-01A-01R-1565-13	0.0270010761023341	0	0	0.301251878612133	0	0.0857002470373064	0	0.0237019832188925	0.107696078281585	0	0	0.149456149491383	0.0178418483176379	0.054565408246119	0.0785329915072331	0.107458137548403	0	0	0.0467942016369731	0	0	0
TCGA-24-2293-01A-01R-1568-13	0.0261069065658476	0	0	0.0745932432391472	0	0.201149777684537	0	0	0.0709737163684245	0	0	0.0195683883972388	0.039081327317172	0.276054184894342	0.0985131280492079	0.182045384938916	0	0	0.0109792032556245	0	0	0.000934739289542524
TCGA-24-1551-01A-01R-1566-13	0	0.00596360706828444	0.00786212740767883	0.0808753625688545	0	0.226156230816941	0	0.00418983395285146	0.070842321264971	0	0.0154588718475724	0.0476546223637269	0.0308564868072853	0.289055744532068	0.0886360439712333	0.0955198445074908	0.00965470468010345	0	0	0.00812381487893746	0	0.0191503833320015
TCGA-31-1953-01A-01R-1568-13	0.00738918661707176	0	0	0.0487528338321744	0	0.12136512916099	0	0.0224503909075408	0.0827385447045902	0	0.00533833097533066	0.0828370107305987	0.026505442543947	0.250268230504058	0.0698623175402936	0.184411734955563	0.0741524911496873	0	0.0207013292687589	0	0	0.00322702710939519
TCGA-20-0987-01A-02R-1564-13	0	0.00477569888148496	0.0843749245336082	0.0786702425968216	0	0.0878317168320729	0.0216831571777983	0	0.0354234698638045	0	0	0.0840144166508221	0.0590574246895705	0.255335852180248	0.0513621915555965	0.178056030802914	0	0	0.0594148742352586	0	0	0
TCGA-13-2060-01A-01R-1568-13	0.0136608280843471	0	0.117213198972766	0.0847728582893541	0	0.2485037153793	0.0694058165348753	0.0521344562991585	0.0179355030854339	0.0189117698338588	0	0.0205630990097663	0.0116568486854337	0	0.130762275797903	0.17281671476018	0	0.0225079841592698	0.0186424659873601	0	0	0.000512465120993035
TCGA-25-2399-01A-01R-1569-13	0.0810645262900622	0	0.0122303794162006	0.0676245534622772	0	0.218991310432306	0.00922481678328844	0.0224670679835465	0.0363382174185298	0	0.0209926879117441	0.0913436796741266	0.0226930863064384	0.121983438695357	0.0952982262744738	0.167952119235922	0	0	0.0296755813910252	0	0	0.00212030872470189
TCGA-29-1705-01A-01R-1567-13	0.0402100565666681	0	0	0.0411550254028696	0	0.217329174516562	0	0.011513125771561	0.0433047548051236	0	0.00678199099252265	0.00156382890955428	0	0.342260586115828	0.0522628483534422	0.21925985011734	0	0	0	0.0167739814931266	0	0.00758477695540216
TCGA-24-1550-01A-01R-1566-13	0.0638346210835267	0	0.0707533292633454	0.0308031040038049	0	0.0652306406575256	0.0234045850223596	0.0223513912259593	0.0178940701831289	0	0	0.0178756489906667	0	0.314809347004842	0.0388407949360985	0.308511682502122	0	0	0	0.0207735447614137	0	0.00491724036520693
TCGA-13-0886-01A-01R-1569-13	0.0490001366254861	0	0.0288924351797533	0.0612410065143404	0	0.225957778216469	0	0.0906071012593214	0.0419436716839349	0	0	0.0572072108428523	0.0242131796908804	0.135078455483873	0.107953523688476	0.136433360020042	0	0.0318619700585231	0.00961017073604758	0	0	0
TCGA-13-0883-01A-02R-1569-13	0.0187892319220714	0	0	0.0732107431796516	0	0.112645485909625	0.00389726375410691	0.0118040112135934	0.0487866290211906	0	0	0.018925953256308	0	0.439862804379662	0.0397878144840997	0.198871857773407	0.00882178573254224	0	0	0.00529967609435034	0	0.0192967432793922
TCGA-13-1506-01A-01R-1565-13	0.102441283588934	0	0.029811231990688	0.0372433613925749	0	0.194452535792015	0	0.0137257872060145	0.0449351677009621	0	0	0.0520690153993494	0.0237840967971306	0.100998546968198	0.024173290530722	0.0586861770146905	0	0.241840718238708	0	0.0621057757776712	0	0.0137330116023417
TCGA-10-0937-01A-02R-1564-13	0	0.000493304037077451	0	0.123845032901026	0	0.265492476220901	0	0.0468474181343603	0.0877966752749928	0	0	0.0876060125008554	0.0317635705229657	0.103114317960672	0.0372952388902721	0.1850971696097	0	0.0275151930625937	0	0.00313359088458311	0	0
TCGA-23-1027-01A-02R-1564-13	0.00427713898271314	0.0220135705940729	0	0.019717600912161	0	0.191883184950392	0	0.026662192527972	0.0420164726929412	0	0	0.0307695380437675	0.000397568236970381	0.382263287990325	0.0597806710681712	0.174376087808865	0.00212602980863044	0	0	0.0399820342469894	0	0.0037346221360293
TCGA-57-1586-01A-02R-1567-13	0.131432064895781	0	0.130555076940572	0.0516732453410501	0	0.14344321851135	0	0.00472685340703537	0.0558371535769698	0	0	0.0215198280359819	0.00131686376600886	0.164255201523601	0.166644442506236	0.128596051495414	0	0	0	0	0	0
TCGA-13-1411-01A-01R-1565-13	0.00113050586109446	0	0.00704120402880738	0.0756613185185771	0	0.16189744704344	0.000487106003999351	0	0.0408233414871671	0	0.0209682625973796	0.0285576642017639	0.0184940633737537	0.344314342727611	0.0791753808307779	0.183084607690664	0.0136081144614499	0	0	0	0	0.0247566411735154
TCGA-13-0765-01A-01R-1564-13	0.0162292665317533	0	0.00305295251245228	0.0651596708973979	0	0.203928424483827	0	0	0.0841151226298789	0	0	0.0408899436875634	0.0777243918446291	0.3793614785377	0.00720903845508049	0.0725463929806322	0	0.00951911080585944	0	0.0402642066332268	0	0
TCGA-29-1696-01A-01R-1567-13	0.0555416024936051	0	0.124204274307128	0.0527135392267325	0	0.27528140768157	0	0.0812278186221781	0.0141837171943929	0	0	0.0462925798580339	0.032192828496577	0.0314379967022223	0.09977939284015	0.150980265515659	0	0.0351359985119135	0.00102857854983861	0	0	0
TCGA-29-1783-01A-01R-1567-13	0	0.00229096731492013	0.0453510823773317	0.0812659206857754	0	0.156354049417135	0	0.0354284580003291	0.0539810936059256	0	0	0.0449228388721865	0.0650473347662469	0.162733722547453	0.0725682518047386	0.222399604891683	0.028988031299584	0	0.0151826279569622	0	0	0.0134860164597287
