"","Name","Length","Width","Thickness","B.Width","J.Width","H.Length","Weight","Blade.Sh","Base.Sh","Should.Sh","Should.Or","Haft.Sh","Haft.Or"
"1","Darl",42.8,15.8,5.8,11.3,10.6,11.6,3.6,"S","I","S","T","S","E"
"2","Darl",40.5,17.4,5.8,NA,13.7,12.9,4.5,"S","I","S","T","S","E"
"3","Darl",37.5,16.3,6.1,12.1,11.3,8.2,3.6,"S","I","S","T","S","E"
"4","Darl",40.3,16.1,6.3,13.5,11.7,8.3,4,"S","I","S","T","S","E"
"5","Darl",30.6,17.1,4,12.6,11.2,8.9,2.3,"S","I","S","T","S","E"
"6","Darl",41.8,16.8,4.1,12.7,11.5,11,3,"S","E","I","T","I","C"
"7","Darl",40.3,20.7,5.9,11.7,11.4,7.6,3.9,"I","I","S","T","I","E"
"8","Darl",48.5,18.7,6.9,14.7,13.4,9.2,6.2,"E","I","I","T","S","E"
"9","Darl",47.7,17.5,7.2,14.3,11.8,8.9,5.1,"E","S","I","H","S","E"
"10","Darl",33.6,15.8,5.1,NA,12.5,11.5,2.8,"E","I","S","T","S","P"
"11","Darl",32.4,14.5,5.2,11.2,11.4,11.7,2.5,"E","I","S","T","S","P"
"12","Darl",42.2,14.6,6.6,NA,13.2,12.5,4.8,"E","I","S","T","S","P"
"13","Darl",33.5,16.6,4.9,12.4,12.9,10.5,3.2,"E","I","S","T","S","P"
"14","Darl",41.8,16.7,5.1,14.2,14.3,10.5,3.8,"E","I","S","T","S","P"
"15","Darl",38,16.5,5.4,14.5,15.2,13.7,4.5,"E","I","S","T","E","E"
"16","Darl",35.5,16.3,5.5,15.5,14.6,11.5,4.4,"E","I","S","T","E","E"
"17","Darl",31.2,15.6,5.1,16.1,12.8,10,2.5,"S","I","S","T","I","E"
"18","Darl",34.5,15.9,4.8,15.9,13.9,7.2,2.3,"I","S","S","T","I","E"
"19","Darl",33.1,17.4,7,15.9,16.3,8.7,4.2,"E","S","S","T","S","P"
"20","Darl",32,16,5.4,13.7,12,15.7,3.3,"S","E","S","T","S","E"
"21","Darl",38.1,19.8,5.2,13.6,11.5,8.7,3.6,"S","S","I","T","I","E"
"22","Darl",47.6,20.3,8.1,17,14.7,12.3,7.4,"E","S","I","T","I","E"
"23","Darl",42.3,19.2,7.7,NA,11.6,11.5,5.6,"E","S","S","T","S","E"
"24","Darl",38.3,20.4,7.2,14.8,12.6,10.9,4.8,"E","I","I","T","I","E"
"25","Darl",50.6,20.3,6.8,15.1,14.1,9.1,7.8,"E","I","I","T","I","E"
"26","Darl",54.2,21,8,17.2,13.1,11.5,9.2,"E","I","I","T","I","E"
"27","Darl",44.2,23.3,7.2,15.3,12.1,12.2,6.2,"S","R","I","T","I","E"
"28","Darl",40,18.2,6.3,NA,13,13.4,4.3,NA,NA,NA,NA,NA,NA
"29","Ensor",43.5,20.1,6,15.2,11.2,5.8,4.6,"S","S","I","B","S","E"
"30","Ensor",42.1,20.8,6.4,21.1,14.8,8.3,5.4,"S","S","I","T","A","E"
"31","Ensor",42.1,25.1,5.9,19.7,16.7,7.2,5.9,"E","S","I","T","A","E"
"32","Ensor",43.1,20,5.8,19.9,16.2,7.3,5.1,"S","S","S","T","S","E"
"33","Ensor",37.5,21.8,6.2,20.8,16.3,8.9,4.7,"S","R","I","T","I","E"
"34","Ensor",55.2,22.5,7,NA,13.2,10.4,7.2,"S","S","I","H","I","E"
"35","Ensor",38,17.5,5,15.6,21.1,7.4,2.5,"I","R","I","H","S","E"
"36","Ensor",42.5,18.6,6.3,NA,13.9,8.5,3.9,"S","R","I","H","S","E"
"37","Ensor",34.9,21.4,7,21.2,12.8,10,4.1,"E","I","I","H","I","E"
"38","Ensor",48.5,27.3,7.8,NA,19.1,10.5,7.2,NA,NA,NA,NA,NA,NA
"39","Pedernales",53.5,27.8,7.2,NA,20.2,16.2,10.7,"E","I","I","T","S","P"
"40","Pedernales",66,27.2,8,10,16.7,16.9,12.5,"E","I","I","T","S","P"
"41","Pedernales",64.5,28.5,8.2,14.1,20,17.5,13.4,"E","I","I","T","S","P"
"42","Pedernales",59,22.8,9.1,11.7,18.9,15.3,11.1,"E","I","I","T","S","P"
"43","Pedernales",60,27.9,10,8.3,21.2,20.2,7.2,"R","I","I","H","E","V"
"44","Pedernales",109.5,49.3,7.5,12.9,20.9,16.4,28.8,"S","I","S","B","S","T"
"45","Pedernales",59.8,31.7,10.7,NA,18.2,17,13.9,"S","I","I","H","S","P"
"46","Pedernales",52.8,25.3,7.1,13,16.6,16.6,9.4,"S","I","S","T","S","P"
"47","Pedernales",43.7,21,6.8,9.1,14,14.1,5.3,"S","I","S","T","S","P"
"48","Pedernales",43.2,23.1,8,12.1,16.4,14.1,7.9,"S","I","S","T","S","P"
"49","Pedernales",49,24.4,7.6,NA,16.2,13,7.3,"S","I","S","T","S","P"
"50","Pedernales",55.3,27.3,9.5,8.8,18.6,15.2,12.2,"E","I","S","T","E","V"
"51","Pedernales",84,21.2,10.2,16.9,18,11.9,9.3,"E","I","S","T","E","V"
"52","Pedernales",48,26.9,8.9,14.9,19.7,17.9,11.1,"E","I","S","T","E","V"
"53","Pedernales",78.3,28.1,8.5,10.5,15.5,21.2,14.8,"E","I","E","B","S","T"
"54","Pedernales",57.2,26.9,7.6,14.2,19.5,17.3,10.7,"E","I","I","H","S","P"
"55","Pedernales",52,29.6,9.8,11.8,17.6,15.8,11.1,"E","I","I","T","I","C"
"56","Pedernales",61.1,25.2,8,12.2,17,11.4,12.3,"E","I","I","T","I","C"
"57","Pedernales",70.4,30.4,6.6,12.5,16.1,19.2,13.1,"E","I","I","T","I","C"
"58","Pedernales",48.1,20.9,7.6,NA,14.2,11.7,6.1,"R","I","I","T","S","T"
"59","Pedernales",46.4,24.3,8.7,NA,16.8,10.7,9.2,"S","I","S","T","S","T"
"60","Pedernales",56.2,22.6,8.5,13.5,18.4,18.3,9.4,"S","I","S","T","S","T"
"61","Pedernales",47.1,20.9,7.5,13.6,18.2,18.5,6.7,"S","I","S","T","S","T"
"62","Pedernales",67.2,27.1,10.2,NA,15.9,10.3,15.3,"R","I","S","T","S","P"
"63","Pedernales",64.1,27.2,10.2,13.2,17,15.5,15.1,"E","I","S","H","R","P"
"64","Pedernales",65,31.6,10.1,10.9,17.7,23,4.6,"S","I","I","H","S","T"
"65","Pedernales",35.4,18.5,6.4,NA,17.1,16.8,4.3,"S","I","X","X","S","P"
"66","Pedernales",61.3,28.1,7.1,NA,18.2,20,11.6,"S","I","I","T","S","P"
"67","Pedernales",55,22,9.1,NA,14.6,12.1,10.5,"E","I","I","T","I","E"
"68","Pedernales",45.2,22.8,7.2,14.4,NA,17,6.8,"I","I","S","T","S","T"
"69","Pedernales",44.8,26.8,7.8,NA,20,11.2,9.1,"E","I","S","T","E","V"
"70","Pedernales",49.1,25.8,8.2,NA,20.4,11.7,9.4,"S","I","I","T","E","T"
"71","Travis",56.5,21.1,8.1,16.2,16.9,14.3,9.5,"E","S","I","T","I","C"
"72","Travis",54.6,22.4,8.7,15.5,16.9,14.9,10.4,"E","S","E","T","S","P"
"73","Travis",46.3,21.3,7.1,16.3,17.9,11.7,7.5,"E","S","E","T","S","P"
"74","Travis",57.6,18.9,8.8,15.5,15.6,19.7,8.7,"E","S","X","X","I","C"
"75","Travis",49.1,21.4,7,12.4,15.8,15.8,6.9,"E","S","X","X","I","C"
"76","Travis",64.6,21.5,9.6,11.2,13.7,11.3,15,"E","I","S","T","S","P"
"77","Travis",69,20.9,7.8,16.4,12.8,13.8,11.4,"E","E","I","T","I","E"
"78","Travis",40.1,18.4,9.3,16.6,14.2,15.5,6.3,"S","S","S","T","S","E"
"79","Travis",41.5,19.2,8.8,NA,16.5,12.5,7.5,"S","S","S","T","S","P"
"80","Travis",46.3,17.9,8.3,11.2,13.3,17.1,5.9,"S","S","S","T","S","P"
"81","Travis",39.6,21.5,6.4,NA,17,11.8,5.4,"S","S","S","T","I","C"
"82","Wells",53.1,29.6,7.6,10.5,16.5,18.8,9.5,"E","S","I","H","S","T"
"83","Wells",41.2,19.7,6.5,12.2,16.3,15.9,5.4,"S","S","S","T","S","T"
"84","Wells",45,22.6,8.1,11.5,15,15.3,7.1,"S","S","S","T","S","T"
"85","Wells",54.2,26,8.7,NA,17.2,20.7,9.7,"S","S","S","T","S","T"
