Station	Year	Month	Date	SH	Tmean	Tmax	Tmin	WindSpeed	RH	Rain	Pressure	SoilTemp	EVP
54406	1981	1	1	8.3	-9.4	-5.2	-12.4	4	29	0	968.6	-11.2	1.2
54406	1981	1	2	7.9	-13	-5.4	-20.1	4.5	35	0	971.3	-14.8	0.9
54406	1981	1	3	6.3	-16	-7.7	-22.3	1	39	0	969.3	-14.8	0.4
54406	1981	1	4	8	-13.4	-2	-21.7	0.8	43	0	970.4	-13.7	0.5
54406	1981	1	5	8	-10.8	-0.4	-18.5	1	45	0	971.7	-12	0.7
54406	1981	1	6	8.1	-9.9	-0.6	-16.6	3	44	0	971.5	-11.4	1.1
54406	1981	1	7	7.9	-11	0.6	-19.3	0.8	48	0	969.4	-11.1	0.6
54406	1981	1	8	6.9	-8.9	2.2	-16	2	51	0	967.4	-10.6	0.6
54406	1981	1	9	8.3	-9.1	-0.2	-15.5	2.3	51	0	969.4	-10	1.3
54406	1981	1	10	8.4	-6.4	-1.5	-10	6	26	0	969.1	-7.3	2.1
54406	1981	1	11	8.1	-2.1	4.8	-5.9	5.3	29	0	965.1	-3.8	2.4
54406	1981	1	12	5.9	-5.2	3.9	-13.9	1.5	38	0	963.9	-6.8	1.6
54406	1981	1	13	8	-6.5	1	-14.1	2	50	0	964.4	-7.5	1.1
54406	1981	1	14	2.2	-5.6	-0.7	-9.1	3	57	0.5	964.3	-7	0.7
54406	1981	1	15	8.1	-9.9	-3.2	-14.9	4.8	33	0	974.3	-9.3	1.1
54406	1981	1	16	8.7	-9.1	-1.2	-17.5	3.3	36	0	974.4	-9.6	1.2
54406	1981	1	17	5.9	-7.6	0.4	-13.5	0.5	41	0	964.2	-7.1	0.8
54406	1981	1	18	7.7	-8.5	-2.9	-12.4	3.3	38	0	968.3	-9.2	1
54406	1981	1	19	7.1	-12.6	-3.4	-18.2	0.3	51	0	969.7	-10.7	0.6
54406	1981	1	20	5	-11.9	-2.7	-18.8	1	51	0	970.6	-11.2	0.6
54406	1981	1	21	8.6	-11.5	-4.3	-18.7	3.3	43	0	973	-12.8	1.1
54406	1981	1	22	4.9	-12	-4.2	-19.7	2	45	0	971.6	-10.6	0.7
54406	1981	1	23	0	-7.3	-3.6	-10.4	2.3	60	0.2	967.6	-7.1	0.1
54406	1981	1	24	8.5	-12	-6.5	-15.7	5.3	30	0	975.4	-12.4	1.4
54406	1981	1	25	7.5	-14.4	-7	-20.2	3	32	0	980	-16.5	0.9
54406	1981	1	26	8.8	-13.1	-5.1	-17.8	6	27	0	980.2	-13.4	1.4
54406	1981	1	27	9.2	-13.1	-3	-20	3.3	32	0	974.7	-12.8	1.4
54406	1981	1	28	8.5	-12.5	-1.5	-20.3	3	33	0	969.4	-13.4	1.5
54406	1981	1	29	8.1	-12	-1.8	-21.4	1.5	39	0	970.7	-12.1	0.8
54406	1981	1	30	8	-9.3	0.8	-16.6	0.8	31	0	967.7	-9.6	0.8
54406	1981	1	31	5.3	-6.8	3.6	-14.5	2.5	39	0	963.8	-6.8	1.4
54406	1981	2	1	9.1	-4.8	4	-13.4	2.8	28	0	966.3	-6.4	2.6
54406	1981	2	2	9.2	-4.4	1.3	-11.7	2.5	27	0	967.8	-6.3	2.1
54406	1981	2	3	9.5	-9.9	-1	-19.5	2	33	0	970.5	-10.5	1.2
54406	1981	2	4	7.7	-12.9	-2.5	-20.2	0.3	32	0	967.8	-12.6	0.7
54406	1981	2	5	8.6	-9.5	5.8	-19.1	0.5	38	0	969.8	-8.7	0.9
54406	1981	2	6	9.2	-5.9	2.5	-14.3	2.8	53	0	972	-6.9	1.6
54406	1981	2	7	9.1	-4.7	6.8	-15.7	2.3	46	0	962.2	-6.3	1.9
54406	1981	2	8	8.2	-4.2	4.3	-11	2.8	38	0	959.2	-6	2.1
54406	1981	2	9	8.4	-3	3.4	-9.1	3.5	31	0	964	-3.8	2.5
54406	1981	2	10	9.4	-0.4	6.3	-5	4	26	0	960.8	-2.2	2.8
54406	1981	2	11	8.6	-0.8	11.2	-12.9	2.3	27	0	952.1	-2	2.7
54406	1981	2	12	9.4	0.5	9.8	-7.8	4.3	27	0	949.3	-0.7	3.5
54406	1981	2	13	5.8	-1.4	4.2	-7.4	2.8	44	0	954.6	-3.8	1.9
54406	1981	2	14	3.5	-3.2	6.5	-10.3	2.3	71	0.3	957.2	-2.9	1.3
54406	1981	2	15	1.6	-5.1	0.2	-9.6	2.5	51	0.3	966.7	-5.4	1
54406	1981	2	16	8.6	-5.7	3.3	-13.3	2	41	0	970.4	-4.7	1.3
54406	1981	2	17	3.7	-4.8	0.4	-10.7	1.8	52	0	963.8	-2.6	1.1
54406	1981	2	18	8.2	-5.7	1.9	-9.9	1.5	48	0	967.1	-2.9	1.4
54406	1981	2	19	0	-6.9	-4.8	-12.6	2	69	1.8	965.8	-7.7	0
54406	1981	2	20	9.4	-6.5	0	-10.9	4	37	0	965.3	-7.5	1.7
54406	1981	2	21	9.1	-7.2	1	-15.3	1.3	63	0	956.8	-7.2	0.8
54406	1981	2	22	2.4	-4.2	2.1	-12.1	1.5	67	0	957.7	-4.9	0.8
54406	1981	2	23	3.2	-4.8	-1.2	-7.7	2	67	6.1	964.1	-5.9	1
54406	1981	2	24	32766	-12.4	-5.1	-14.3	4	26	0	970.2	-14.1	2.3
54406	1981	2	25	8.4	-13.4	-9.9	-16.1	4	27	0	971.3	-14.1	1.9
54406	1981	2	26	10.1	-14.6	-4.8	-24.4	1.3	35	0	974.6	-16.9	1.2
54406	1981	2	27	4	-11.1	-4.6	-17.9	1	59	0	967	-12.1	0.8
54406	1981	2	28	8.7	-8.4	0.5	-16.7	1.3	68	0	965.9	-9.2	0.6
54406	1981	3	1	8.8	-5.6	3.9	-14.9	2.3	59	0	969.7	-4.3	1.2
54406	1981	3	2	6.7	-2.6	5.1	-12.3	0.8	63	0	966.1	-2	1.1
54406	1981	3	3	8.3	2.1	10.9	-8.2	3.3	46	0	964	2.1	2.5
54406	1981	3	4	10.2	-0.3	8.4	-9.2	1.8	35	0	964.8	-0.3	3.1
54406	1981	3	5	10.3	-0.8	5.3	-7	4.5	22	0	967.8	-0.9	3.1
54406	1981	3	6	32766	2	11.8	-10.2	4.8	24	0	961.9	1.7	4.2
54406	1981	3	7	8.9	3.2	10.5	-3	5	22	0	959.4	2.3	5.7
54406	1981	3	8	7.8	-1.6	5	-7.1	1.8	29	0	964.7	1.7	2.1
54406	1981	3	9	9.9	0.6	10.7	-9	3.5	29	0	966.2	1.5	3.2
54406	1981	3	10	10.1	1	13.3	-9.3	1.3	39	0	964.6	2.8	2.8
54406	1981	3	11	9.6	3.5	15.3	-6.8	1.3	49	0	960.8	3.7	3.1
54406	1981	3	12	9.1	6.1	15.5	-4.2	1.8	50	0	959.3	6.1	3.7
54406	1981	3	13	2.5	7.3	14.5	1.4	1.3	56	0	959.3	7.5	2.5
54406	1981	3	14	8.9	5.5	10	0.9	4.8	26	0	964.9	6.4	5.8
54406	1981	3	15	10.8	5.6	15.6	-3.8	3.3	36	0	966.8	5.6	6.1
