ORF,Ca_5_min,Ca_15_min,Ca_30_min,Ca_60_min,Ca_FK506_5_min,Ca_FK506_15_min,Ca_FK506_30_min,Ca_FK506_60_min,Ca_Ca_FK506_15_min,Ca_Ca_FK506_30_min,crz1_Ca_15_min,crz1_Ca_30_min,Na_15_min,Na_30_min,Na_45_min,Na_60_min,Na_FK506_15_min,Na_FK506_30_min,Na_FK506_45_min,Na_FK506_60_min,Na_Na_FK506_30_min,Na_Na_FK506_45_min,crz1_Na_30_min,crz1_Na_45_min
YNL027W,1.273582512,1.279068393,0.641440067,-0.028169326,0.274028072,0.291068393,0.204118448,0.07186406,-0.845536222,-0.339959326,-1.803131925,-0.65847679,-0.008,0.822,0.608,0.586,0.165,0.345,0.568,0.813,-0.297725525,0.262463778,-0.733497834,-0.573874401
YKL038W,0.215151829,0.091474835,-0.319728954,-0.507767817,0.168390817,0.083788251,-0.228911279,-0.339650975,0.031621627,-0.018182395,0.125554151,-0.106330409,-0.639,-0.043,0.072,-0.308,-0.467,-0.135,0.377,0.677,-0.089256632,0.187631781,-0.156689539,0.042618612
YIL136W,2.953495087,3.682336665,2.596271046,0.533804407,3.022716748,4.725291316,3.736846103,1.582,0.898733905,0.883249249,0.394271046,0.654606136,1.308,3.068,3.701,3.756,1.288,2.993,3.409,3.592,0.036485509,0.574799401,-0.682963587,-0.080931607
YHR043C,0.861810431,1.101008664,1.260012477,1.31814493,0.505,1.998782208,1.463021178,0.370381345,1.002657491,0.365331819,0.634538209,0.429953091,-0.163,0.383,0.613,0.24,0.066,0.61,1.102,0.518,0.747658435,1.153189484,0.395067546,0.43305386
YHR044C,0.986514643,1.014936725,0.957783897,1.166048131,1.525216598,1.441052431,1.385230226,0.526048131,0.650311894,0.422805427,0.665216598,0.412805427,-0.15,0.11,0,-0.12,0.21,0.21,0.31,0.29,0.510554447,0.649992883,0.35063462,0.535216598
YDR011W,-0.469209244,-0.90435928,-0.592024289,-0.943240338,-0.38,-1.118035711,-1.224870231,-1.389575489,0.22565804,0.154269722,0.092645643,-0.105965343,-0.3,-0.27,-0.23,-0.36,-0.19,0.16,0.39,0.26,0.819961673,1.009849185,-0.65923792,0.008086582
YJR069C,0.052866037,0.145759662,0.013526678,0.228085547,0.433799656,0.556457406,0.528143709,0.368374987,0.108606136,0.206868075,0.203371468,0.156514643,,-0.921,-0.786,-0.603,0.32,-0.552,-1.094,-1.097,-0.028283591,0.000795892,0.451121876,0.025691387
YGR213C,0.76290125,2.88665152,4.787,2.496691604,-0.103,,0.196,-0.148,-3.169628532,-4.343,,-4.267,0.271,0.23,0.509,0.887,0.462,0.304,0.234,0.737,-0.388,-0.633,-0.452,-0.973
YGR177C,-0.897783065,-1.983217792,-1.974991336,-0.227194573,-0.862747363,-1.810128762,-1.572997516,-0.35936538,-0.213951869,0.098817605,-0.069,-0.264922022,-0.008,-0.676,-1.617,-1.958,0.05,-0.297,,-1.612,-0.22959155,-0.277783065,0.216782208,0.517502547
YOR377W,-0.312547653,-0.709991336,-0.882769774,-1.257947942,-0.447,-0.065146155,-0.59543273,-0.17,-0.16682661,-0.266,0.119594353,0.028394105,-0.635,-0.419,-0.519,-0.975,-0.829,-1.012,-0.404,-0.457,0.017199617,0.091868075,-0.330950094,0.112583263
YAL054C,0.046,0.417644082,0.047798438,-0.952,,0.391868075,0.302,0.15,0.151563162,0.380194498,-0.12,0.064125599,0.204,0.508,-0.451,0.07,0.215,0.223,0.385,0.168,-0.679,0.100947834,-0.600832265,-0.214
YLR153C,-0.450615531,-0.88808753,-1.079932454,-0.528692893,-0.245339802,,-0.058133963,-0.133,-0.158,-0.2655809,0.078563162,0.108502547,-0.005,-0.908,-2.051,-2.215,0.181,-0.978,-1.982,-1.876,0.074594353,-0.363052198,-0.317682246,-0.070354444
YBL015W,0.494325936,0.71805386,-0.05787073,-1.286497834,0.315648628,1.642112287,0.5330937,-0.105030771,0.151363499,0.479216518,-0.038273391,0.217680641,0.406,0.901,1.241,0.991,0.843,0.695,1.269,1.056,-0.42089428,-0.236800028,-0.37062024,-0.199580995
YDR208W,-0.263951869,-0.504783402,-0.402497453,-0.054783402,-0.291124067,-0.313239458,-0.514298077,0.135027042,-0.050128762,0.086881884,0.079580607,-0.087194573,-0.377,0.359,0.031,0.326,-0.233,0.458,0.573,0.427,-0.112497453,-0.221145844,-0.093951869,0.140311894
YGR231C,-0.092536222,0.194939394,0.809475306,-0.298790597,0.291,0.334,0.426,0.13,0.252,0.268561742,0.258831963,0.544366974,0.338,0.102,0.466,0.9,0.228,0.007,0.264,0.288,0.051801585,0.024125908,-0.159765729,-0.221204108
