"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"1","【CCTV】中国国家森林公园【全三辑】","2017-01-05 20:19","175","0","1","28",170,4795,1,0,"CCTV
森林
森林公园","CCTV 从普及森林科学知识角度，以生态保护、人与自然和谐相处为主题，将我国森林资源的特点、森林生态系统的规律和动植物故事，生动具体地加以呈现。"
"2","雷蒙德·布兰克的厨房秘密【全8集】","2017-01-05 19:16","531","0","7","118",315,47473,10,3,"英国
吃货
BBC
文化
人物
人文
纪录片
美食","作为米其林三星厨师的雷蒙德来自法国这个充满浪漫和美食气息的地方。在本节目中，他将开放自己的厨房，教会大家如何通过几个简单步骤，大幅度提高菜肴档次。"
"3","年轻人们｜面基字幕组","2017-01-05 18:51","541","0","34","34",38,7240,23,5,"翻译
阿尔法小分队
字幕组
VICE中国
柚子木字幕组
美剧
果酱字幕组
纪录片
熟肉
空耳同传君
人人影视字幕组","作为生活在墙里的一代人，如果没有字幕组不厌其烦的工作，你可能得把所有的休闲时间都花在国产电视剧上。在高墙下，他们是最有影响力，最被低估的一群年轻人。这一集里，我们面基了这些字幕大神。 字幕组看上去像是一个共享主义的乌托邦，其实也是个充满竞争的残酷世界。很多时候，各个字幕组经常因为抢发而发生冲突。柚子木字幕组的组长Leo就因为 “抢坑” 而得罪了不少人，尤其是阿尔法小分队的组长lzg。这两个组员超过500人的大字幕组之间恩怨一直不断，用他们自己的话说，有人的地方就有江湖。"
"4","【starmedia纪录片】第一次世界大战 01集【自译中字】","2017-01-05 18:38","457","0","17","37",6,3083,15,0,"纪录片
第一次世界大战
starmedia","starmedia starmedia纪录片，老毛子视角的一战，试译第一集"
"5","【国家地理】巨型结构 - 伦敦著名塔桥- BBC纪录片历史 生肉 CPNTV","2017-01-05 18:00","142","0","0","7",1146,7417,0,0,"自然
BBC
纪实
文化
英国
历史
科技
纪录片
汽车
画质感人","https://www.youtube.com/watch?v=kEbfZKoehJw 如果你能看到标题上有“生肉”两个字，你就该明白这个视频没有中文字幕！
在看到上面那行字之后仍然留言说没有字幕看个毛的人，我对你们眼睛的使用价值表示严重的怀疑QwQ
欢迎动手能力强和技术宅朋友加入QQ群“黑科技术宅”，号码：560897669
本视频中播放音乐的mp3格式已上传至“联邦音乐交流部”，如有需要请移步下载，群号码：436200198。
欢迎军迷朋友加群：428548296，军迷的征途是星辰大海！"
"6","【国家地理】巨型结构 - 破冰船超级船 - BBC纪录片历史 生肉 CPNTV","2017-01-05 17:54","764","0","0","12",1146,7417,0,0,"英语
BBC
纪实
社会
人文
官方
自然
中国
纪录片
艺术","https://www.youtube.com/watch?v=uEjXA7HKAJQ 如果你能看到标题上有“生肉”两个字，你就该明白这个视频没有中文字幕！
在看到上面那行字之后仍然留言说没有字幕看个毛的人，我对你们眼睛的使用价值表示严重的怀疑QwQ
欢迎动手能力强和技术宅朋友加入QQ群“黑科技术宅”，号码：560897669
本视频中播放音乐的mp3格式已上传至“联邦音乐交流部”，如有需要请移步下载，群号码：436200198。
欢迎军迷朋友加群：428548296，军迷的征途是星辰大海！"
"7","【建筑篇】中国古城墙（2003）【全一百集】","2017-01-05 17:53","200","0","0","39",170,4794,2,2,"建筑
古城墙","CD 中国是世界著名的文明古国，城墙修筑的历史非常悠久，不仅工程坚固，而且在建筑艺术上也有高超的成就；中国城墙的数量不可胜计，从历史和规模来说，恐怕是世界其他许多文明古国难以比拟的。古城墙是中华民族文明发展史的重要标志，是中华文明历代传承的有力见证。"
"8","【经典传奇】山村捉“鬼”记","2017-01-05 17:10","212","0","3","3",166,557,0,0,"走近科学
捉鬼
经典传奇","搜狐 2017.1.5 尽量一天一更 喜欢点个关注 投个币都可以哦 我现在已经从新浪上传 画质会好一点_(:з」∠)_"
"9","麦哲伦奉献：NHK楼兰","2017-01-05 15:16","552","0","1","18",28,208,3,1,"NHK","NHK 楼兰古国"
"10","【共2P】【动物世界】走近大熊猫","2017-01-05 15:03","187","4","0","4",2,0,1,0,"CCTV
大熊猫","走近大熊猫（一）"
