clearance,board_height,vent_size,board_angle,Y
low,low,small,low,3.88
high,low,small,low,3.17
low,high,small,low,4.07
high,high,small,low,3.22
low,low,large,low,4
high,low,large,low,3.65
low,high,large,low,3.93
high,high,large,low,3.33
low,low,small,high,4.45
high,low,small,high,3.7
low,high,small,high,4.55
high,high,small,high,4.05
low,low,large,high,3.92
high,low,large,high,3.2
low,high,large,high,3.61
high,high,large,high,3.11
low,low,small,low,3.1
high,low,small,low,2.75
low,high,small,low,3.05
high,high,small,low,2.42
low,low,large,low,3.1
high,low,large,low,2
low,high,large,low,2.6
high,high,large,low,2.01
low,low,small,high,3.25
high,low,small,high,2.62
low,high,small,high,3
high,high,small,high,2.31
low,low,large,high,2.74
high,low,large,high,1.62
low,high,large,high,2.5
high,high,large,high,1.82
low,low,small,low,5.3
high,low,small,low,4.9
low,high,small,low,5.15
high,high,small,low,4.4
low,low,large,low,5.85
high,low,large,low,4.75
low,high,large,low,5.12
high,high,large,low,4.52
low,low,small,high,6.2
high,low,small,high,5.3
low,high,small,high,5.75
high,high,small,high,4.72
low,low,large,high,5.33
high,low,large,high,3.5
low,high,large,high,4.53
high,high,large,high,3.95
