id,condition,scenario,support,achieve,unintended,agency1,agency2,agency3,agency4,agency5,agency6,personalpeople,politics,sex,edu,state,income,hispanic,race,suspicious,comments,notes
1,4,2,7,5,1,2,3,7,7,7,4,6,7,2,8,10,3,2,4,no,no comments,
1,4,5,7,7,3,2,3,7,7,7,4,6,7,2,8,10,3,2,4,no,no comments,
1,4,7,6,6,1,2,3,7,7,7,4,6,7,2,8,10,3,2,4,no,no comments,
1,4,8,7,7,1,2,3,7,7,7,4,6,7,2,8,10,3,2,4,no,no comments,
1,4,9,4,4,7,2,3,7,7,7,4,6,7,2,8,10,3,2,4,no,no comments,
1,4,10,3,3,6,2,3,7,7,7,4,6,7,2,8,10,3,2,4,no,no comments,
1,4,12,7,7,4,2,3,7,7,7,4,6,7,2,8,10,3,2,4,no,no comments,
1,4,14,7,6,1,2,3,7,7,7,4,6,7,2,8,10,3,2,4,no,no comments,
2,4,6,3,2,6,3,5,7,7,7,6,5,2,2,8,35,3,2,4,no,,
2,4,7,7,5,4,3,5,7,7,7,6,5,2,2,8,35,3,2,4,no,,
2,4,9,6,5,4,3,5,7,7,7,6,5,2,2,8,35,3,2,4,no,,
2,4,10,4,4,2,3,5,7,7,7,6,5,2,2,8,35,3,2,4,no,,
2,4,13,4,4,3,3,5,7,7,7,6,5,2,2,8,35,3,2,4,no,,
2,4,14,6,4,3,3,5,7,7,7,6,5,2,2,8,35,3,2,4,no,,
2,4,15,6,4,3,3,5,7,7,7,6,5,2,2,8,35,3,2,4,no,,
2,4,16,3,2,6,3,5,7,7,7,6,5,2,2,8,35,3,2,4,no,,
3,3,2,5,4,6,6,7,7,7,7,7,5,2,2,9,32,4,2,4,no,,
3,3,3,3,5,5,6,7,7,7,7,7,5,2,2,9,32,4,2,4,no,,
3,3,4,3,3,4,6,7,7,7,7,7,5,2,2,9,32,4,2,4,no,,
3,3,5,6,6,7,6,7,7,7,7,7,5,2,2,9,32,4,2,4,no,,
3,3,7,7,6,3,6,7,7,7,7,7,5,2,2,9,32,4,2,4,no,,
3,3,10,4,5,4,6,7,7,7,7,7,5,2,2,9,32,4,2,4,no,,
3,3,11,5,3,2,6,7,7,7,7,7,5,2,2,9,32,4,2,4,no,,
3,3,14,3,3,5,6,7,7,7,7,7,5,2,2,9,32,4,2,4,no,,
4,1,1,1,1,5,7,7,7,7,7,7,1,3,2,9,4,4,2,4,no.,,
4,1,4,1,1,5,7,7,7,7,7,7,1,3,2,9,4,4,2,4,no.,,
4,1,8,1,1,1,7,7,7,7,7,7,1,3,2,9,4,4,2,4,no.,,
4,1,9,5,3,1,7,7,7,7,7,7,1,3,2,9,4,4,2,4,no.,,
4,1,11,3,3,1,7,7,7,7,7,7,1,3,2,9,4,4,2,4,no.,,
4,1,12,6,3,1,7,7,7,7,7,7,1,3,2,9,4,4,2,4,no.,,
4,1,14,5,5,1,7,7,7,7,7,7,1,3,2,9,4,4,2,4,no.,,
4,1,15,4,4,1,7,7,7,7,7,7,1,3,2,9,4,4,2,4,no.,,
5,3,2,6,5,5,7,7,7,7,7,7,7,3,1,8,9,1,2,4,no,,
5,3,3,1,4,6,7,7,7,7,7,7,7,3,1,8,9,1,2,4,no,,
5,3,4,2,3,5,7,7,7,7,7,7,7,3,1,8,9,1,2,4,no,,
