"","x"
"BnC20180703ZSZ_DN-_Dp-_2044","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_5601","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_2905","TREG"
"BnC20180703ZSZ_DN-_Dp-_6272","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_6679","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_324","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3750","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_6335","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3914","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3241","HLADR+CD8+TCM"
"BnC20180703ZSZ_DN-_Dp-_6789","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3216","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4807","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4062","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_730","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_6380","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_1745","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_299","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_2324","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6764","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6303","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4908","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4537","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_7042","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4644","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_5017","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3852","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4206","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_2047","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1041","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6814","HLADR-CD4+TCM"
"BnC20180703ZSZ_DN-_Dp-_6383","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4886","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_5626","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_175","HLADR+CD8+TCM"
"BnC20180703ZSZ_DN-_Dp-_3379","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_5362","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_1530","HLADR+CD8+TCM"
"BnC20180703ZSZ_DN-_Dp-_2249","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_1637","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_1009","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2929","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_2923","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2605","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1077","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_980","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_1645","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3289","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1877","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_6053","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_7100","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3120","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_5635","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_860","HLADR+CD8+TCM"
"BnC20180703ZSZ_DN-_Dp-_3956","TREG"
"BnC20180703ZSZ_DN-_Dp-_1457","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_899","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_5310","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6308","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2639","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4686","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_669","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_2705","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1933","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_5736","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3158","TREG"
"BnC20180703ZSZ_DN-_Dp-_5703","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_5718","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_5590","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3095","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_5308","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4426","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4995","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_5","TREG"
"BnC20180703ZSZ_DN-_Dp-_3342","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_1548","HLADR+CD8+TCM"
"BnC20180703ZSZ_DN-_Dp-_2670","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4307","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2473","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_781","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_1712","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_4693","HLADR+CD8+TCM"
"BnC20180703ZSZ_DN-_Dp-_2934","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_5535","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_723","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3053","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6914","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_6268","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6221","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_1229","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_917","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4581","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2410","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4606","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2247","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_1316","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_5484","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_656","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3271","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3584","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4203","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_2332","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3422","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_6684","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3381","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6233","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6401","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4260","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2874","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1030","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_6543","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_2107","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_425","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_6627","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_5038","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_995","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3839","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_6668","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4091","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_2826","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4526","TREG"
"BnC20180703ZSZ_DN-_Dp-_2234","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2149","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1535","TREG"
"BnC20180703ZSZ_DN-_Dp-_2580","HLADR+CD8+TCM"
"BnC20180703ZSZ_DN-_Dp-_6870","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_7061","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_636","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_991","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4814","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_4320","TREG"
"BnC20180703ZSZ_DN-_Dp-_6217","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_7024","TREG"
"BnC20180703ZSZ_DN-_Dp-_5139","HLADR+CD8+TCM"
"BnC20180703ZSZ_DN-_Dp-_3633","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4600","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_5728","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_5479","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_6827","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_3062","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2172","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_2852","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_73","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_1280","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_5867","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_1609","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1664","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_534","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1710","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_5093","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_5895","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3460","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2698","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_1714","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_773","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_2711","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3975","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_1507","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_3090","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_1515","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_3489","HLADR+CD8+TEFF"
"BnC20180703ZSZ_DN-_Dp-_2458","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_4513","PD1+CD8+"
"BnC20180703ZSZ_DN-_Dp-_2602","PD1+CD4+"
"BnC20180703ZSZ_DN-_Dp-_2468","PD1+CD8+"
