"Satation","Year","num_day","total_rain"
54406,1981,0,0
54406,1982,0,0
54406,1983,0,0
54406,1984,4,6
54406,1985,0,0
54406,1986,0,0
54406,1987,0,0
54406,1988,0,0
54406,1989,0,0
54406,1990,4,33
54406,1991,5,109.3
54406,1992,0,0
54406,1993,0,0
54406,1994,0,0
54406,1995,0,0
54406,1996,0,0
54406,1997,5,60.6
54406,1998,0,0
54406,1999,0,0
54406,2000,0,0
54406,2001,0,0
54406,2002,0,0
54406,2003,0,0
54406,2004,0,0
54406,2005,0,0
54406,2006,3,50.1
54406,2007,0,0
54406,2008,0,0
54406,2009,0,0
54406,2010,0,0
54406,2011,4,16.7
54406,2012,0,0
54406,2013,0,0
54406,2014,0,0
54406,2015,0,0
54406,2016,0,0
54406,2017,0,0
54406,2018,0,0
54416,1981,0,0
54416,1982,0,0
54416,1983,0,0
54416,1984,0,0
54416,1985,3,1.9
54416,1986,0,0
54416,1987,0,0
54416,1988,3,3.9
54416,1989,0,0
54416,1990,0,0
54416,1991,0,0
54416,1992,0,0
54416,1993,0,0
54416,1994,0,0
54416,1995,0,0
54416,1996,0,0
54416,1997,0,0
54416,1998,0,0
54416,1999,3,13.7
54416,2000,0,0
54416,2001,0,0
54416,2002,0,0
54416,2003,3,4.4
54416,2004,0,0
54416,2005,0,0
54416,2006,0,0
54416,2007,0,0
54416,2008,0,0
54416,2009,0,0
54416,2010,3,12.9
54416,2011,0,0
54416,2012,0,0
54416,2013,0,0
54416,2014,0,0
54416,2015,0,0
54416,2016,0,0
54416,2017,0,0
54416,2018,0,0
