"Satation","Year","num_day","total_rain"
51053,1981,0,0
51053,1982,0,0
51053,1983,0,0
51053,1984,0,0
51053,1985,0,0
51053,1986,0,0
51053,1987,3,11.4
51053,1988,0,0
51053,1989,0,0
51053,1990,0,0
51053,1991,3,5.2
51053,1992,3,1.6
51053,1993,0,0
51053,1994,0,0
51053,1995,0,0
51053,1996,0,0
51053,1997,0,0
51053,1998,0,0
51053,1999,0,0
51053,2000,0,0
51053,2001,0,0
51053,2002,0,0
51053,2003,0,0
51053,2004,0,0
51053,2005,0,0
51053,2006,0,0
51053,2007,0,0
51053,2008,0,0
51053,2009,0,0
51053,2010,0,0
51053,2011,0,0
51053,2012,0,0
51053,2013,0,0
51053,2014,0,0
51053,2015,0,0
51053,2016,0,0
51053,2017,0,0
51053,2018,0,0
51059,1981,0,0
51059,1982,0,0
51059,1983,0,0
51059,1984,0,0
51059,1985,0,0
51059,1986,3,7.4
51059,1987,0,0
51059,1988,0,0
51059,1989,0,0
51059,1990,0,0
51059,1991,0,0
51059,1992,0,0
51059,1993,0,0
51059,1994,0,0
51059,1995,3,7.7
51059,1996,0,0
51059,1997,0,0
51059,1998,0,0
51059,1999,0,0
51059,2000,0,0
51059,2001,0,0
51059,2002,0,0
51059,2003,0,0
51059,2004,0,0
51059,2005,0,0
51059,2006,0,0
51059,2007,0,0
51059,2008,0,0
51059,2009,3,4.9
51059,2010,3,10
51059,2011,0,0
51059,2012,0,0
51059,2013,0,0
51059,2014,0,0
51059,2015,3,14.4
51059,2016,0,0
51059,2017,0,0
51059,2018,0,0
51060,1981,0,0
51060,1982,0,0
51060,1983,0,0
51060,1984,4,5.6
51060,1985,0,0
51060,1986,0,0
51060,1987,0,0
51060,1988,0,0
51060,1989,0,0
51060,1990,0,0
51060,1991,5,5.9
51060,1992,3,4.5
51060,1993,0,0
51060,1994,0,0
51060,1995,0,0
51060,1996,3,10.7
51060,1997,0,0
51060,1998,0,0
51060,1999,0,0
51060,2000,4,3.8
51060,2001,0,0
51060,2002,0,0
51060,2003,0,0
51060,2004,0,0
51060,2005,0,0
51060,2006,0,0
51060,2007,0,0
51060,2008,0,0
51060,2009,0,0
51060,2010,0,0
51060,2011,0,0
51060,2012,0,0
51060,2013,3,12.3
51060,2014,0,0
51060,2015,0,0
51060,2016,0,0
51060,2017,0,0
51060,2018,0,0
51068,1981,0,0
51068,1982,0,0
51068,1983,0,0
51068,1984,0,0
51068,1985,0,0
51068,1986,3,3.4
51068,1987,0,0
51068,1988,0,0
51068,1989,0,0
51068,1990,0,0
51068,1991,5,16.6
51068,1992,0,0
51068,1993,3,1.3
51068,1994,0,0
51068,1995,0,0
51068,1996,0,0
51068,1997,0,0
51068,1998,0,0
51068,1999,0,0
51068,2000,4,2.5
51068,2001,0,0
51068,2002,0,0
51068,2003,0,0
51068,2004,0,0
51068,2005,0,0
51068,2006,0,0
51068,2007,3,5.9
51068,2008,0,0
51068,2009,0,0
51068,2010,0,0
51068,2011,0,0
51068,2012,0,0
51068,2013,3,9
51068,2014,0,0
51068,2015,0,0
51068,2016,3,3.1
51068,2017,0,0
51068,2018,0,0
51076,1981,0,0
51076,1982,0,0
51076,1983,0,0
51076,1984,0,0
51076,1985,0,0
51076,1986,0,0
51076,1987,0,0
51076,1988,0,0
51076,1989,0,0
51076,1990,0,0
51076,1991,4,4.8
51076,1992,0,0
51076,1993,0,0
51076,1994,0,0
51076,1995,0,0
51076,1996,3,3.3
51076,1997,0,0
51076,1998,0,0
51076,1999,0,0
51076,2000,4,8.7
51076,2001,0,0
51076,2002,0,0
51076,2003,0,0
51076,2004,0,0
51076,2005,0,0
51076,2006,0,0
51076,2007,0,0
51076,2008,0,0
51076,2009,0,0
51076,2010,0,0
51076,2011,0,0
51076,2012,0,0
51076,2013,0,0
51076,2014,0,0
51076,2015,0,0
51076,2016,0,0
51076,2017,0,0
51076,2018,0,0
51087,1981,0,0
51087,1982,0,0
51087,1983,3,5
51087,1984,5,14
51087,1985,0,0
51087,1986,0,0
51087,1987,3,9.3
51087,1988,0,0
51087,1989,0,0
51087,1990,0,0
51087,1991,0,0
51087,1992,0,0
51087,1993,0,0
51087,1994,0,0
51087,1995,0,0
51087,1996,0,0
51087,1997,0,0
51087,1998,0,0
51087,1999,0,0
51087,2000,0,0
51087,2001,0,0
51087,2002,0,0
51087,2003,0,0
51087,2004,0,0
51087,2005,0,0
51087,2006,0,0
51087,2007,0,0
51087,2008,0,0
51087,2009,0,0
51087,2010,0,0
51087,2011,0,0
51087,2012,0,0
51087,2013,0,0
51087,2014,0,0
51087,2015,0,0
51087,2016,0,0
51087,2017,0,0
51087,2018,0,0
51133,1981,0,0
51133,1982,0,0
51133,1983,0,0
51133,1984,0,0
51133,1985,0,0
51133,1986,3,1.7
51133,1987,0,0
51133,1988,0,0
51133,1989,0,0
51133,1990,0,0
51133,1991,0,0
51133,1992,0,0
51133,1993,0,0
51133,1994,0,0
51133,1995,0,0
51133,1996,0,0
51133,1997,0,0
51133,1998,4,17.6
51133,1999,0,0
51133,2000,0,0
51133,2001,0,0
51133,2002,0,0
51133,2003,0,0
51133,2004,0,0
51133,2005,4,26.8
51133,2006,4,12.8
51133,2007,0,0
51133,2008,0,0
51133,2009,3,6.3
51133,2010,0,0
51133,2011,0,0
51133,2012,0,0
51133,2013,0,0
51133,2014,0,0
51133,2015,0,0
51133,2016,3,8.7
51133,2017,0,0
51133,2018,0,0
51156,1981,0,0
51156,1982,0,0
51156,1983,4,22
51156,1984,0,0
51156,1985,0,0
51156,1986,6,20.2
51156,1987,0,0
51156,1988,3,2.9
51156,1989,0,0
51156,1990,0,0
51156,1991,3,2.5
51156,1992,0,0
51156,1993,0,0
51156,1994,0,0
51156,1995,0,0
51156,1996,0,0
51156,1997,0,0
51156,1998,0,0
51156,1999,0,0
51156,2000,0,0
51156,2001,0,0
51156,2002,0,0
51156,2003,0,0
51156,2004,0,0
51156,2005,0,0
51156,2006,3,8.9
51156,2007,0,0
51156,2008,0,0
51156,2009,0,0
51156,2010,3,9.4
51156,2011,4,14.6
51156,2012,0,0
51156,2013,5,17.5
51156,2014,3,2.1
51156,2015,0,0
