,date,PM,TASMAX,TASAVG,TASMIN,DPMAX,DPAVG,DPMIN,RHMAX,RHAVG,RHMIN,sfcWindMAX,sfcWindAVG,sfcWindMIN,PSLMAX,PSLAVG,PSLMIN,PRCPAVG
1,2017/12/02,46.18333333,5.556,4.4448,2.778,7.2228,5.0004,2.778,100,92.5,85,20.92142,10.46071,0,1017.271155,1012.699531,1008.127906,3.048
2,2017/12/03,45.1525,8.334,5.556,2.778,7.2228,5.0004,2.778,100,90.5,81,19.31208,9.65604,0,1020.657544,1016.424558,1012.191572,3.048
3,2017/12/04,20.62791667,0.5556,-1.1112,-2.2224,2.2224,-1.1112,-7.2228,100,84.5,69,27.35878,13.67939,0,1026.753044,1022.858697,1018.96435,1.016
4,2017/12/05,14.08791667,2.2224,-1.1112,-5.0004,1.1112,-3.8892,-7.2228,93,80,67,27.35878,14.48406,1.60934,1030.81671,1027.430321,1024.043933,0
5,2017/12/06,17.10608696,5.0004,1.6668,-1.6668,2.2224,-1.6668,-6.1116,93,65.5,38,24.1401,13.67939,3.21868,1030.81671,1028.446238,1026.075766,0
6,2017/12/07,35.59583333,11.112,4.4448,-2.778,1.1112,-1.6668,-5.556,100,62.5,25,20.92142,10.46071,0,1029.800794,1027.430321,1025.059849,0
7,2017/12/08,113.1616667,10.0008,2.778,-4.4448,10.0008,3.3336,-7.2228,100,68,36,28.96812,14.48406,0,1028.446238,1022.350738,1016.255239,0
8,2017/12/09,73.48625,15.0012,5.0004,-5.0004,1.1112,-2.2224,-6.1116,100,60,20,35.40548,17.70274,0,1019.302989,1011.175656,1003.048323,0
9,2017/12/10,31.78458333,0.5556,-3.3336,-7.2228,1.1112,-4.4448,-8.8896,100,72.5,45,53.10822,26.55411,0,1022.0121,1012.530211,1003.048323,0.508
10,2017/12/11,99.69391304,2.778,-3.3336,-8.8896,-2.2224,-5.556,-10.0008,100,79,58,11.26538,5.63269,0,1022.350738,1019.302989,1016.255239,0
11,2017/12/12,42.955,10.5564,3.3336,-4.4448,3.8892,-1.6668,-7.2228,100,70,40,12.87472,7.24203,1.60934,1020.996183,1019.133669,1017.271155,0
12,2017/12/13,74.93869565,10.0008,4.4448,-1.1112,6.1116,2.2224,-2.2224,100,78.5,57,11.26538,5.63269,0,1021.334822,1017.779114,1014.223406,0
