"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr11","Attr12","Attr13","Attr14","Attr15","Attr16","Attr17","Attr18","Attr19","Attr20","Attr22","Attr23","Attr24","Attr25","Attr26","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
0.21514,0.091758,0.59992,8.379,58.863,0.785627200000001,0.26353,9.8213,1.1737,0.90118,0.26353,3.2414,0.19979,0.26353,105.04,3.4748,10.898,0.26353,0.16513,88.355,0.23675,0.13481,0.99166,0.90118,2.9474,1.882,4.2297,0.03803,0.16513,21.825,16.724,2.5801,0.23675,1.6318,0.91164,0.14835,0.38603,0.010329,0.14835,148.62,60.268,0.55689,3.6273,103.71,0.18144,0.11369,7.4241,0.081301,0.059793,2.827,2.8598,10182,0.14801,0.23873,0.85199,0.011604,4.131,6.0563,18.594,19.63,5.0064,"0"
0.26447,0.26571,0.68168,4.0691,73.344,0,0.26447,2.7635,2.3586,0.73429,0.27096,1.1907,0.11398,0.26447,360.75,1.0118,3.7635,0.26447,0.11213,65.409,0,0.11213,0.2688,0.72226,1.0118,7.0852,3.6186,0.10789,0.24599,72.442,5.0385,4.2118,0.091104,2.3586,0.77464,0.038626,0.19414,2.0301,0,133.19,67.78,0.62572,2.1661,137.86,-0.0043629,-0.0018498,3.4014,0.22211,0.19847,7.6321,8.0515,2832.4,0.52553,0.36018,0.47727,0.054954,5.5803,5.385,34.372,10.619,24.515,"0"
0.16573,0.43442,0.40475,1.9317,34.005,0.40757,0.2075,1.2851,1.1175,0.5583,0.2075,0.47765,0.095672,0.2075,717.68,0.50858,2.3019,0.2075,0.089852,33.32,0.21674,0.071763,0.51037,0.5583,0.41243,2.5166,4.4728,0.16352,0.089852,76.728,4.757,0.49892,0.21674,2.3249,0.5583,0.093855,0.13073,0.062048,0.093855,123.66,90.338,0.78612,1.4464,37.234,0.2033,0.088035,1.9317,0.43442,0.21021,3.4713,3.4713,12022,0.10513,0.29684,0.89487,0,10.954,4.0404,68.662,5.3159,14.359,"0"
-0.069646,0.86627,0.32699,4.1549,-40.42,-0.19382,-0.069646,0.15437,0.26152,0.13373,-0.037821,-0.67198,-0.06591,-0.069646,-18344,-0.019897,1.1544,-0.069646,-0.26632,270.9104,-0.03784,-0.26632,-0.069646,-0.23659,-0.019898,0.5743,3.3857,3.1678,-0.14462,125.97,2.8975,0.34666,-0.038787,0.26152,0.89636,-0.14832,0.3656,1.9819,-0.14469,548.15,53.004,-0.19632,0.73202,371.1701,-0.090249,-0.3451,0.49711,0.10364,0.34513,0.23487,1.5743,794.69,-0.14832,-0.5208,1.2515,5.7028,1.167325,6.8862,144.66,2.5232,0.45931,"0"
0.0026793,0.53518,0.14816,1.525,-2.5077,0.058943,0.013325,0.67949,0.96005,0.36365,0.013325,0.047214,0.064235,0.013325,2673.4,0.13653,1.8685,0.013325,0.011714,49.325,0.015966,0.0023554,0.081586,0.36365,0.11664,0.26009,4.4478,0.43659,0.011714,86.94,4.1983,0.029834,0.015966,1.2299,0.61661,0.014036,0.14468,0.2324,0.014036,125,75.67,0.01743,0.98028,47.355,-0.043777,-0.038485,0.80417,0.28222,0.23819,0.63841,1.0825,4154.4,-0.041613,0.0073678,1.0416,0.69561,7.3998,4.8236,90.558,4.0306,1.997,"0"
0.03307,0.45027,0.22994,1.9368,-10.481,0.37393,0.04428,1.1377,1.0017,0.51225,0.04428,0.18041,0.029491,0.04428,1209.2,0.30186,2.2209,0.04428,0.0096075,28.481,-0.00058338,0.0071754,0.4724,0.51225,0.27696,0.43829,3.999,0.095676,0.0096075,19.471,18.746,-0.0012956,-0.00058338,4.6931,0.71708,-0.00012658,0.044442,0.16258,-0.00012658,36.784,8.3025,0.091956,0.47158,28.53,-0.092222,-0.02001,1.0558,0.24544,0.053345,0.97642,1.3669,2293.9,0.0017055,0.064558,0.99829,0.39986,12.815,43.963,19.438,18.778,8.785,"0"
0.042249,0.18703,0.25582,2.3678,30.53,-0.00028661,0.042249,3.624,1.0368,0.67781,0.042249,0.22589,0.072307,0.042249,519.98,0.70194,5.3466,0.042249,0.023269,20.894,0.055183,0.023269,-0.00028661,0.67781,0.70194,0.45916,4.7757,0.036542,0.023269,38.982,9.3633,0.29504,0.055183,1.8341,0.67781,0.030392,0.70361,0.042636,0.030392,62.57,41.676,0.40648,1.8121,21.663,-0.033855,-0.018646,2.3678,0.18703,0.1068,1.2166,1.2166,15263,0.035494,0.062332,0.96451,0,17.469,8.7581,37.598,9.7079,3.2589,"0"
0.20762,0.23728,0.82458,31.454,214.05,0,0.2104,3.2145,1.0694,0.76272,0.24629,7.7709,0.22039,0.2104,367.46,0.99331,4.2145,0.2104,0.19674,103.14,0.19562,0.19413,0.52279,0.26972,0.98156,5.5584,3.5131,-0.12779,0.21321,11.109,32.857,3.7493,0.17982,1.0694,0.97292,0.16814,14.123,0.035803,0.18292,160.15,57.014,0.68701,20.293,123.99,0.17034,0.15928,3.5893,0.027076,0.030435,5.1415,6.5584,2687.1,0.16814,0.2722,0.81823,0.27559,3.5389,6.402,9.241,39.498,7.2091,"0"
0.46683,0.15019,0.78784,8.6555,61.662,0,0.5797,5.6583,2.2028,0.84981,0.59684,5.633,0.27162,0.5797,91.619,3.9839,6.6583,0.5797,0.26316,33.813,0.58231,0.21192,1.1821,0.77121,3.2324,7.2113,3.7066,0.068181,0.26316,23.277,15.68,10.744,0.5891,2.2028,0.84981,0.26743,3.0178,0.0083306,0.26435,96.135,62.322,2.2877,6.6726,46.156,0.56367,0.25589,5.9308,0.10291,0.063773,7.7785,7.7785,4009.4,0.26743,0.54933,0.7397,0,10.795,5.8567,17.052,21.405,20.163,"0"
0.16833,0.18253,0.6017,4.2964,136.14,0,0.21,4.4785,1.3534,0.81747,0.26515,1.1505,0.17491,0.21,281.44,1.2969,5.4785,0.21,0.15516,42.798,0.17427,0.12437,0.65929,0.80211,1.0686,2.7887,3.9926,-0.18335,0.15571,56.926,6.4118,6.4118,0.18303,1.3534,0.81747,0.13524,2.4171,0.030272,0.12876,92.513,49.715,1.0607,3.427,49.491,0.14754,0.10901,4.2964,0.18253,0.15596,3.7887,3.7887,5915.4,0.13524,0.20591,0.85479,0,8.5285,7.3418,49.228,7.4145,6.2726,"0"
